	Unnamed: 0	URLs	Nome	Acceleration	Sprint Speed	Positioning	Finishing	Shot Power	Long Shot	Volleys	Penalties	Vision	Crossing	Free Kick	Shot Passing	Long Passing	Curve	Agility	Balance	Reactions	Ball Control	Dribbling	Composure	Interceptions	Heading	Def. Awareness	Standing Tackle	Sliding	Jumping	Stamina	Strength	Aggression	Diving	Kicking	Handling	Reflexes	Positioning GK	Posição	Overall	Tipo	Nome Completo	País	Time	Posição Alternativa 1	Posição Alternativa 2	Posição Alternativa 3	Foto	Versão
3370	3370	/players/213761-abderrazak-hamdallah/24-213761/	abderrazak-hamdallah	64.0	72.0	81.0	78.0	77.0	70.0	72.0	80.0	74.0	66.0	72.0	72.0	60.0	74.0	76.0	46.0	79.0	72.0	77.0	77.0	20.0	81.0	30.0	25.0	20.0	78.0	87.0	79.0	57.0	9.0	9.0	11.0	10.0	15.0	ST	77	Common	Abderrazak Hamdallah	https://game-assets.fut.gg/2024/nations/129.png?quality=100&amp;width=80	https://game-assets.fut.gg/2024/clubs/607.png?quality=100&amp;width=80	CF			https://game-assets.fut.gg/2024/cards/futgg-cards/213761.webp	Versão 1
3402	3402	/players/208135-abdoulaye-doucoure/24-208135/	abdoulaye-doucoure	65.0	67.0	75.0	75.0	84.0	77.0	68.0	54.0	74.0	66.0	52.0	76.0	73.0	44.0	61.0	63.0	77.0	79.0	77.0	77.0	79.0	69.0	75.0	79.0	74.0	78.0	82.0	81.0	76.0	15.0	12.0	12.0	14.0	15.0	CM	77	Common	Abdoulaye Doucouré	https://game-assets.fut.gg/2024/nations/126.png?quality=100&amp;width=80	https://game-assets.fut.gg/2024/clubs/7.png?quality=100&amp;width=80	CDM			https://game-assets.fut.gg/2024/cards/futgg-cards/208135.webp	Versão 1
3457	3457	/players/229905-abdulkerim-bardakci/24-229905/	abdulkerim-bardakci	60.0	62.0	59.0	24.0	46.0	27.0	27.0	48.0	51.0	60.0	35.0	73.0	74.0	58.0	62.0	64.0	73.0	65.0	63.0	73.0	78.0	76.0	78.0	77.0	78.0	83.0	82.0	83.0	83.0	13.0	12.0	7.0	15.0	7.0	CB	77	Common	Abdülkerim Bardakcı	https://game-assets.fut.gg/2024/nations/48.png?quality=100&amp;width=80	https://game-assets.fut.gg/2024/clubs/325.png?quality=100&amp;width=80				https://game-assets.fut.gg/2024/cards/futgg-cards/229905.webp	Versão 1
1833	1833	/players/229905-abdulkerim-bardakci/24-50561553/	abdulkerim-bardakci	71.0	73.0	74.0	30.0	58.0	34.0	34.0	60.0	57.0	69.0	40.0	82.0	83.0	65.0	70.0	72.0	82.0	73.0	71.0	82.0	85.0	83.0	85.0	84.0	85.0	89.0	88.0	89.0	89.0	13.0	12.0	7.0	15.0	7.0	CB	83	Team of the Week	Abdülkerim Bardakcı	https://game-assets.fut.gg/2024/nations/48.png?quality=100&amp;width=80	https://game-assets.fut.gg/2024/clubs/325.png?quality=100&amp;width=80				https://game-assets.fut.gg/2024/cards/futgg-cards/50561553.webp	Versão 1
395	395	/players/167425-abedi-pele/24-50499073/	abedi-pele	93.0	92.0	85.0	82.0	85.0	88.0	87.0	88.0	91.0	90.0	84.0	89.0	79.0	89.0	96.0	91.0	92.0	93.0	92.0	83.0	44.0	81.0	48.0	45.0	42.0	77.0	86.0	67.0	48.0	6.0	10.0	13.0	5.0	15.0	CAM	90	UEFA Heroes (Mens)	Abedi Pelé	https://game-assets.fut.gg/2024/nations/117.png?quality=100&amp;width=80					https://game-assets.fut.gg/2024/cards/futgg-cards/50499073.webp	Versão 1
577	577	/players/167425-abedi-pele/24-167425/	abedi-pele	92.0	91.0	83.0	80.0	83.0	86.0	85.0	86.0	90.0	89.0	83.0	88.0	78.0	88.0	95.0	90.0	91.0	92.0	91.0	82.0	43.0	79.0	47.0	44.0	41.0	75.0	83.0	65.0	47.0	6.0	10.0	13.0	5.0	15.0	CAM	89	UT Heroes	Abedi Pelé	https://game-assets.fut.gg/2024/nations/117.png?quality=100&amp;width=80					https://game-assets.fut.gg/2024/cards/futgg-cards/167425.webp	Versão 1
3629	3629	/players/239250-abel-ruiz/24-239250/	abel-ruiz	76.0	78.0	75.0	78.0	77.0	73.0	74.0	73.0	73.0	60.0	56.0	75.0	67.0	58.0	75.0	72.0	76.0	77.0	76.0	73.0	24.0	72.0	45.0	38.0	20.0	83.0	82.0	74.0	46.0	6.0	10.0	10.0	8.0	10.0	ST	76	Common	Abel Ruiz	https://game-assets.fut.gg/2024/nations/45.png?quality=100&amp;width=80	https://game-assets.fut.gg/2024/clubs/1896.png?quality=100&amp;width=80	CF			https://game-assets.fut.gg/2024/cards/futgg-cards/239250.webp	Versão 1
1441	1441	/players/239028-aboubakary-koita/24-67347892/	aboubakary-koita	95.0	89.0	77.0	77.0	99.0	99.0	70.0	59.0	77.0	82.0	96.0	80.0	74.0	93.0	99.0	96.0	78.0	84.0	89.0	77.0	81.0	43.0	84.0	78.0	74.0	82.0	82.0	87.0	67.0	14.0	8.0	8.0	6.0	14.0	LW	85	Team of the Week	Aboubakary Koita	https://game-assets.fut.gg/2024/nations/127.png?quality=100&amp;width=80	https://game-assets.fut.gg/2024/clubs/680.png?quality=100&amp;width=80	LB	LWB	LM	https://game-assets.fut.gg/2024/cards/futgg-cards/67347892.webp	Versão 1
1755	1755	/players/235212-achraf-hakimi/24-235212/	achraf-hakimi	91.0	93.0	78.0	75.0	80.0	73.0	74.0	64.0	78.0	84.0	74.0	82.0	73.0	77.0	83.0	78.0	81.0	82.0	79.0	80.0	78.0	68.0	75.0	76.0	76.0	83.0	92.0	72.0	76.0	10.0	14.0	8.0	8.0	6.0	RB	84	Rare	Achraf Hakimi	https://game-assets.fut.gg/2024/nations/129.png?quality=100&amp;width=80	https://game-assets.fut.gg/2024/clubs/73.png?quality=100&amp;width=80	RWB			https://game-assets.fut.gg/2024/cards/futgg-cards/235212.webp	Versão 1
613	613	/players/227310-ada-martine-stolsmo-hegerberg/24-227310/	ada-martine-stolsmo-hegerberg	73.0	77.0	93.0	91.0	85.0	86.0	90.0	84.0	76.0	71.0	75.0	83.0	72.0	79.0	74.0	48.0	90.0	90.0	90.0	86.0	23.0	92.0	42.0	33.0	30.0	89.0	75.0	80.0	65.0	15.0	12.0	7.0	14.0	10.0	ST	89	Rare	Ada Martine Stolsmo Hegerberg	https://game-assets.fut.gg/2024/nations/36.png?quality=100&amp;width=80	https://game-assets.fut.gg/2024/clubs/66.png?quality=100&amp;width=80	CF			https://game-assets.fut.gg/2024/cards/futgg-cards/227310.webp	Versão 1
390	390	/players/227310-ada-martine-stolsmo-hegerberg/24-50558958/	ada-martine-stolsmo-hegerberg	75.0	79.0	94.0	92.0	86.0	87.0	91.0	85.0	78.0	73.0	77.0	85.0	74.0	81.0	75.0	49.0	91.0	91.0	91.0	87.0	24.0	94.0	43.0	34.0	31.0	90.0	76.0	81.0	66.0	15.0	12.0	7.0	14.0	10.0	ST	90	Team of the Week	Ada Martine Stolsmo Hegerberg	https://game-assets.fut.gg/2024/nations/36.png?quality=100&amp;width=80	https://game-assets.fut.gg/2024/clubs/66.png?quality=100&amp;width=80	CF			https://game-assets.fut.gg/2024/cards/futgg-cards/50558958.webp	Versão 1
183	183	/players/227310-ada-martine-stolsmo-hegerberg/24-84113390/	ada-martine-stolsmo-hegerberg	86.0	90.0	96.0	94.0	90.0	90.0	93.0	87.0	85.0	81.0	84.0	93.0	80.0	88.0	84.0	81.0	92.0	92.0	92.0	88.0	25.0	97.0	44.0	35.0	32.0	92.0	90.0	83.0	81.0	15.0	12.0	7.0	14.0	10.0	ST	91	Ultimate Birthday	Ada Martine Stolsmo Hegerberg	https://game-assets.fut.gg/2024/nations/36.png?quality=100&amp;width=80	https://game-assets.fut.gg/2024/clubs/66.png?quality=100&amp;width=80	CF			https://game-assets.fut.gg/2024/cards/futgg-cards/84113390.webp	Versão 1
186	186	/players/227310-ada-martine-stolsmo-hegerberg/24-67336174/	ada-martine-stolsmo-hegerberg	86.0	90.0	96.0	94.0	90.0	90.0	93.0	87.0	85.0	81.0	84.0	93.0	80.0	88.0	84.0	81.0	92.0	92.0	92.0	88.0	25.0	97.0	44.0	35.0	32.0	92.0	90.0	83.0	81.0	15.0	12.0	7.0	14.0	10.0	ST	91	Ultimate Birthday	Ada Martine Stolsmo Hegerberg	https://game-assets.fut.gg/2024/nations/36.png?quality=100&amp;width=80	https://game-assets.fut.gg/2024/clubs/66.png?quality=100&amp;width=80	CF			https://game-assets.fut.gg/2024/cards/futgg-cards/67336174.webp	Versão 2
1821	1821	/players/221841-adam-armstrong/24-50553489/	adam-armstrong	97.0	82.0	86.0	83.0	90.0	84.0	75.0	81.0	80.0	74.0	72.0	84.0	70.0	80.0	90.0	91.0	88.0	81.0	82.0	75.0	55.0	89.0	48.0	31.0	34.0	92.0	78.0	73.0	94.0	10.0	13.0	13.0	7.0	12.0	RW	83	Team of the Week	Adam Armstrong	https://game-assets.fut.gg/2024/nations/14.png?quality=100&amp;width=80	https://game-assets.fut.gg/2024/clubs/17.png?quality=100&amp;width=80	RM	ST	LW	https://game-assets.fut.gg/2024/cards/futgg-cards/50553489.webp	Versão 1
3364	3364	/players/246618-adam-hlozek/24-246618/	adam-hlozek	80.0	73.0	77.0	78.0	80.0	77.0	73.0	66.0	78.0	69.0	68.0	75.0	68.0	68.0	69.0	76.0	76.0	79.0	77.0	78.0	23.0	74.0	23.0	32.0	23.0	89.0	76.0	83.0	69.0	11.0	9.0	10.0	10.0	11.0	ST	77	Common	Adam Hložek	https://game-assets.fut.gg/2024/nations/12.png?quality=100&amp;width=80	https://game-assets.fut.gg/2024/clubs/32.png?quality=100&amp;width=80	CAM	CF		https://game-assets.fut.gg/2024/cards/futgg-cards/246618.webp	Versão 1
3734	3734	/players/180819-adam-lallana/24-180819/	adam-lallana	63.0	51.0	74.0	69.0	72.0	69.0	70.0	70.0	78.0	74.0	66.0	81.0	77.0	77.0	68.0	73.0	77.0	80.0	78.0	81.0	64.0	64.0	61.0	65.0	60.0	67.0	54.0	60.0	71.0	6.0	14.0	15.0	11.0	8.0	CAM	76	Common	Adam Lallana	https://game-assets.fut.gg/2024/nations/14.png?quality=100&amp;width=80	https://game-assets.fut.gg/2024/clubs/1808.png?quality=100&amp;width=80	CDM	CM		https://game-assets.fut.gg/2024/cards/futgg-cards/180819.webp	Versão 1
2478	2478	/players/224031-adam-marusic/24-224031/	adam-marusic	87.0	89.0	69.0	56.0	79.0	77.0	68.0	58.0	60.0	76.0	54.0	71.0	55.0	76.0	64.0	77.0	76.0	76.0	75.0	75.0	76.0	76.0	75.0	78.0	75.0	93.0	82.0	83.0	76.0	8.0	7.0	9.0	10.0	10.0	LB	80	Rare	Adam Marušić	https://game-assets.fut.gg/2024/nations/15.png?quality=100&amp;width=80	https://game-assets.fut.gg/2024/clubs/115841.png?quality=100&amp;width=80	RB	LWB		https://game-assets.fut.gg/2024/cards/futgg-cards/224031.webp	Versão 1
2908	2908	/players/207616-adam-webster/24-207616/	adam-webster	63.0	73.0	26.0	30.0	37.0	32.0	27.0	24.0	55.0	50.0	25.0	77.0	73.0	27.0	62.0	57.0	76.0	74.0	69.0	78.0	76.0	78.0	82.0	80.0	75.0	83.0	69.0	79.0	75.0	10.0	14.0	8.0	12.0	7.0	CB	78	Common	Adam Webster	https://game-assets.fut.gg/2024/nations/14.png?quality=100&amp;width=80	https://game-assets.fut.gg/2024/clubs/1808.png?quality=100&amp;width=80				https://game-assets.fut.gg/2024/cards/futgg-cards/207616.webp	Versão 1
4031	4031	/players/245694-adama-traore/24-245694/	adama-traore	86.0	88.0	73.0	80.0	67.0	65.0	58.0	58.0	66.0	70.0	41.0	66.0	57.0	52.0	78.0	74.0	73.0	74.0	76.0	73.0	22.0	55.0	22.0	14.0	18.0	74.0	68.0	63.0	39.0	5.0	9.0	7.0	7.0	9.0	RW	75	Common	Adama Traoré	https://game-assets.fut.gg/2024/nations/126.png?quality=100&amp;width=80	https://game-assets.fut.gg/2024/clubs/1874.png?quality=100&amp;width=80	RM	CAM		https://game-assets.fut.gg/2024/cards/futgg-cards/245694.webp	Versão 1
1019	1019	/players/213956-adama-traore/24-50545604/	adama-traore	96.0	95.0	81.0	80.0	98.0	78.0	64.0	58.0	77.0	86.0	47.0	83.0	62.0	83.0	80.0	89.0	74.0	80.0	90.0	77.0	77.0	75.0	69.0	77.0	66.0	87.0	80.0	90.0	77.0	13.0	11.0	9.0	7.0	12.0	RWB	87	Moments	Adama Traoré	https://game-assets.fut.gg/2024/nations/45.png?quality=100&amp;width=80	https://game-assets.fut.gg/2024/clubs/144.png?quality=100&amp;width=80	RM	RW	ST	https://game-assets.fut.gg/2024/cards/futgg-cards/50545604.webp	Versão 1
3527	3527	/players/213956-adama-traore/24-213956/	adama-traore	94.0	93.0	65.0	62.0	79.0	63.0	52.0	47.0	66.0	74.0	42.0	71.0	50.0	72.0	78.0	87.0	70.0	78.0	89.0	73.0	41.0	40.0	37.0	41.0	35.0	79.0	73.0	88.0	76.0	13.0	11.0	9.0	7.0	12.0	RW	76	Rare	Adama Traoré	https://game-assets.fut.gg/2024/nations/45.png?quality=100&amp;width=80	https://game-assets.fut.gg/2024/clubs/144.png?quality=100&amp;width=80	RM	ST		https://game-assets.fut.gg/2024/cards/futgg-cards/213956.webp	Versão 1
2564	2564	/players/178086-adan/24-178086/	adan	56.0	54.0	11.0	11.0	59.0	12.0	15.0	25.0	42.0	12.0	12.0	34.0	43.0	11.0	55.0	51.0	76.0	15.0	12.0	63.0	20.0	23.0	20.0	14.0	18.0	78.0	32.0	77.0	41.0	78.0	78.0	80.0	78.0	83.0	GK	80	Common	Adán	https://game-assets.fut.gg/2024/nations/45.png?quality=100&amp;width=80	https://game-assets.fut.gg/2024/clubs/237.png?quality=100&amp;width=80				https://game-assets.fut.gg/2024/cards/futgg-cards/178086.webp	Versão 1
4002	4002	/players/262925-adem-zorgane/24-262925/	adem-zorgane	59.0	55.0	66.0	69.0	79.0	74.0	58.0	66.0	75.0	70.0	63.0	78.0	75.0	68.0	64.0	61.0	73.0	77.0	75.0	72.0	68.0	62.0	65.0	72.0	68.0	74.0	91.0	81.0	74.0	14.0	7.0	11.0	12.0	9.0	CM	75	Common	Adem Zorgane	https://game-assets.fut.gg/2024/nations/97.png?quality=100&amp;width=80	https://game-assets.fut.gg/2024/clubs/670.png?quality=100&amp;width=80	CDM			https://game-assets.fut.gg/2024/cards/futgg-cards/262925.webp	Versão 1
1840	1840	/players/262925-adem-zorgane/24-50594573/	adem-zorgane	72.0	68.0	74.0	78.0	89.0	83.0	65.0	74.0	84.0	79.0	71.0	87.0	84.0	76.0	72.0	68.0	82.0	87.0	84.0	81.0	77.0	70.0	74.0	82.0	77.0	80.0	99.0	88.0	80.0	14.0	7.0	11.0	12.0	9.0	CM	83	Team of the Week	Adem Zorgane	https://game-assets.fut.gg/2024/nations/97.png?quality=100&amp;width=80	https://game-assets.fut.gg/2024/clubs/670.png?quality=100&amp;width=80	CDM			https://game-assets.fut.gg/2024/cards/futgg-cards/50594573.webp	Versão 1
2286	2286	/players/230899-ademola-lookman/24-230899/	ademola-lookman	88.0	84.0	85.0	86.0	79.0	75.0	80.0	62.0	76.0	66.0	51.0	76.0	56.0	69.0	90.0	85.0	85.0	83.0	86.0	78.0	32.0	64.0	27.0	23.0	24.0	79.0	69.0	67.0	62.0	12.0	9.0	12.0	6.0	15.0	ST	81	Rare	Ademola Lookman	https://game-assets.fut.gg/2024/nations/133.png?quality=100&amp;width=80	https://game-assets.fut.gg/2024/clubs/115845.png?quality=100&amp;width=80	RM	CF	RW	https://game-assets.fut.gg/2024/cards/futgg-cards/230899.webp	Versão 1
1489	1489	/players/230899-ademola-lookman/24-50562547/	ademola-lookman	92.0	88.0	89.0	90.0	83.0	79.0	84.0	65.0	83.0	71.0	54.0	83.0	61.0	75.0	94.0	89.0	89.0	87.0	90.0	82.0	37.0	75.0	32.0	27.0	28.0	86.0	75.0	73.0	68.0	12.0	9.0	12.0	6.0	15.0	ST	85	Team of the Week	Ademola Lookman	https://game-assets.fut.gg/2024/nations/133.png?quality=100&amp;width=80	https://game-assets.fut.gg/2024/clubs/115845.png?quality=100&amp;width=80	RM	CF	RW	https://game-assets.fut.gg/2024/cards/futgg-cards/50562547.webp	Versão 1
3352	3352	/players/208330-adnan-januzaj/24-208330/	adnan-januzaj	78.0	75.0	74.0	69.0	75.0	73.0	69.0	60.0	75.0	78.0	74.0	80.0	74.0	80.0	84.0	75.0	70.0	81.0	84.0	75.0	36.0	42.0	30.0	23.0	22.0	63.0	64.0	62.0	41.0	15.0	11.0	10.0	7.0	12.0	RW	77	Common	Adnan Januzaj	https://game-assets.fut.gg/2024/nations/7.png?quality=100&amp;width=80	https://game-assets.fut.gg/2024/clubs/481.png?quality=100&amp;width=80	RM	LW		https://game-assets.fut.gg/2024/cards/futgg-cards/208330.webp	Versão 1
3798	3798	/players/246113-adria-pedrosa/24-246113/	adria-pedrosa	91.0	89.0	70.0	61.0	63.0	58.0	58.0	45.0	68.0	72.0	40.0	72.0	65.0	74.0	83.0	77.0	73.0	74.0	81.0	73.0	70.0	59.0	69.0	71.0	70.0	77.0	89.0	63.0	78.0	14.0	14.0	14.0	8.0	10.0	LB	76	Rare	Adrià Pedrosa	https://game-assets.fut.gg/2024/nations/45.png?quality=100&amp;width=80	https://game-assets.fut.gg/2024/clubs/481.png?quality=100&amp;width=80	LWB			https://game-assets.fut.gg/2024/cards/futgg-cards/246113.webp	Versão 1
3182	3182	/players/227397-adriana-leon/24-50559045/	adriana-leon	79.0	82.0	80.0	76.0	78.0	77.0	78.0	59.0	66.0	59.0	65.0	76.0	56.0	51.0	79.0	77.0	73.0	80.0	80.0	73.0	32.0	68.0	32.0	33.0	26.0	78.0	70.0	69.0	40.0	8.0	17.0	11.0	12.0	15.0	ST	77	Common	Adriana Leon	https://game-assets.fut.gg/2024/nations/70.png?quality=100&amp;width=80	https://game-assets.fut.gg/2024/clubs/2.png?quality=100&amp;width=80	RM	LM	CF	https://game-assets.fut.gg/2024/cards/futgg-cards/50559045.webp	Versão 1
3324	3324	/players/227397-adriana-leon/24-227397/	adriana-leon	79.0	82.0	80.0	76.0	78.0	77.0	78.0	59.0	66.0	59.0	65.0	76.0	56.0	51.0	79.0	77.0	73.0	80.0	80.0	73.0	32.0	68.0	32.0	33.0	26.0	78.0	70.0	69.0	40.0	8.0	17.0	11.0	12.0	15.0	ST	77	Common	Adriana Leon	https://game-assets.fut.gg/2024/nations/70.png?quality=100&amp;width=80	https://game-assets.fut.gg/2024/clubs/11.png?quality=100&amp;width=80	RM	LM	CF	https://game-assets.fut.gg/2024/cards/futgg-cards/227397.webp	Versão 2
1422	1422	/players/227397-adriana-leon/24-67336261/	adriana-leon	88.0	91.0	89.0	85.0	87.0	86.0	87.0	66.0	75.0	67.0	74.0	86.0	64.0	58.0	88.0	86.0	81.0	89.0	89.0	81.0	41.0	87.0	41.0	42.0	33.0	91.0	82.0	81.0	47.0	8.0	17.0	11.0	12.0	15.0	RW	85	Team of the Week	Adriana Leon	https://game-assets.fut.gg/2024/nations/70.png?quality=100&amp;width=80	https://game-assets.fut.gg/2024/clubs/2.png?quality=100&amp;width=80	RM	LM	ST	https://game-assets.fut.gg/2024/cards/futgg-cards/67336261.webp	Versão 1
2848	2848	/players/272212-adriana-nanclares/24-272212/	adriana-nanclares	50.0	37.0	7.0	9.0	56.0	10.0	7.0	12.0	27.0	9.0	11.0	15.0	23.0	10.0	56.0	44.0	77.0	11.0	10.0	32.0	14.0	11.0	9.0	17.0	18.0	53.0	16.0	36.0	18.0	77.0	75.0	75.0	81.0	78.0	GK	79	Common	Adriana Nanclares	https://game-assets.fut.gg/2024/nations/45.png?quality=100&amp;width=80	https://game-assets.fut.gg/2024/clubs/448.png?quality=100&amp;width=80				https://game-assets.fut.gg/2024/cards/futgg-cards/272212.webp	Versão 1
1971	1971	/players/232077-adrianna-franch/24-232077/	adrianna-franch	37.0	41.0	15.0	12.0	59.0	14.0	12.0	32.0	40.0	17.0	15.0	26.0	32.0	14.0	56.0	59.0	80.0	25.0	16.0	54.0	23.0	16.0	17.0	19.0	20.0	61.0	40.0	56.0	27.0	82.0	78.0	83.0	83.0	84.0	GK	83	Rare	Adrianna Franch	https://game-assets.fut.gg/2024/nations/95.png?quality=100&amp;width=80	https://game-assets.fut.gg/2024/clubs/116309.png?quality=100&amp;width=80				https://game-assets.fut.gg/2024/cards/futgg-cards/232077.webp	Versão 1
1749	1749	/players/210008-adrien-rabiot/24-210008/	adrien-rabiot	76.0	79.0	82.0	72.0	86.0	78.0	72.0	69.0	83.0	73.0	59.0	85.0	84.0	71.0	69.0	69.0	84.0	85.0	80.0	82.0	82.0	79.0	80.0	84.0	80.0	88.0	89.0	83.0	81.0	9.0	9.0	12.0	15.0	7.0	CM	84	Rare	Adrien Rabiot	https://game-assets.fut.gg/2024/nations/18.png?quality=100&amp;width=80	https://game-assets.fut.gg/2024/clubs/45.png?quality=100&amp;width=80	LM			https://game-assets.fut.gg/2024/cards/futgg-cards/210008.webp	Versão 1
