	Número	Nome	Posição	Acceleration	Sprint Speed	Positioning	Finishing	Shot Power	Long Shot	Volleys	Penalties	Vision	Crossing	Free Kick	Shot Passing	Long Passing	Curve	Agility	Balance	Reactions	Ball Control	Dribbling	Composure	Interceptions	Heading	Def. Awareness	Standing Tackle	Sliding	Jumping	Stamina	Strength	Aggression
30	19642	Erling Haaland	ST	86.0	98.0	99.0	99.0	97.0	89.0	93.0	87.0	80.0	51.0	67.0	83.0	57.0	83.0	82.0	77.0	99.0	88.0	85.0	94.0	46.0	88.0	41.0	50.0	31.0	98.0	79.0	97.0	92.0
31	20200	Ronaldinho	LW	94.0	91.0	90.0	93.0	87.0	89.0	83.0	87.0	94.0	91.0	93.0	93.0	87.0	91.0	95.0	89.0	93.0	96.0	97.0	95.0	32.0	53.0	38.0	41.0	32.0	87.0	84.0	85.0	70.0
32	20208	Muller	ST	94.0	84.0	99.0	99.0	97.0	84.0	97.0	87.0	83.0	68.0	76.0	84.0	68.0	79.0	85.0	95.0	98.0	91.0	82.0	91.0	45.0	99.0	47.0	34.0	34.0	91.0	82.0	78.0	64.0
33	20875	Mary Earps	GK	54.0	44.0	10.0	10.0	62.0	13.0	12.0	26.0	68.0	13.0	12.0	31.0	29.0	14.0	29.0	40.0	86.0	20.0	12.0	35.0	14.0	7.0	11.0	15.0	14.0	64.0	38.0	63.0	31.0
34	20877	Theo Hernandez	LB	97.0	99.0	92.0	77.0	96.0	82.0	76.0	58.0	84.0	96.0	73.0	90.0	78.0	79.0	86.0	84.0	93.0	87.0	91.0	88.0	89.0	84.0	83.0	91.0	91.0	99.0	99.0	89.0	90.0
35	21358	Paolo Maldini	CB	88.0	89.0	41.0	58.0	74.0	42.0	66.0	55.0	72.0	79.0	34.0	91.0	83.0	44.0	70.0	71.0	99.0	75.0	64.0	99.0	97.0	95.0	96.0	98.0	97.0	86.0	84.0	87.0	82.0
36	18986	Hamm	ST	93	91	94	94	94	93	90	89	88	77	90	90	86	85	88	90	94	92	93	90	55	84	45	54	51	83	88	82	68
37	19732	Luka Modric	CM	85	80	84	80	87	90	85	92	96	91	83	96	97	90	98	98	91	96	90	98	92	64	81	84	83	77	94	66	71
38	20439	Paolo Maldini	CB	86	87	40	57	73	41	65	54	70	77	31	88	80	41	66	69	95	74	63	95	96	94	95	97	96	85	82	86	80
39	20519	Kylian Mbappe	LW	98	98	95	96	92	85	86	86	87	82	72	90	75	84	95	84	95	94	95	90	42	81	29	38	36	91	91	80	66
40	20691	Lev Yashin	CB	90	80	54	51	80	57	57	72	99	64	61	64	64	57	98	94	99	78	62	98	99	84	85	85	84	99	73	99	89
41	20736	Neymar Jr	LW	93	90	90	87	83	85	90	95	95	88	92	90	86	93	97	87	92	98	99	97	41	70	39	35	32	78	84	55	68
42	20845	Bruno Fernandes	CAM	85	80	94	89	94	94	93	96	98	91	90	94	96	90	83	84	96	93	86	87	77	77	80	86	75	79	99	70	90
43	20853	Petr Cech	GK	64	60	12	13	57	12	12	27	60	21	22	37	40	22	67	64	89	23	18	69	23	27	26	14	23	72	44	76	26
44	20871	Sawa	CM	90	83	92	93	80	90	75	82	93	88	81	96	95	88	90	84	93	94	93	95	85	89	84	88	70	82	97	73	75
45	19731	Robert Lewandowski	ST	84	83	98	97	95	88	93	94	86	82	91	89	75	84	82	88	98	95	91	93	55	99	39	47	21	96	80	93	85
46	20206	Ferenc Puskas	CF	93	91	98	97	96	95	94	94	94	89	90	93	90	93	92	93	97	95	92	97	46	77	44	43	40	73	92	79	59
47	20450	Erling Haaland	ST	86	98	99	99	97	89	93	87	81	51	68	84	58	84	82	77	99	88	85	94	51	98	45	55	34	99	81	99	94
48	20876	Millie Bright	CB	84	86	61	78	99	74	56	94	80	70	72	93	95	70	80	81	93	81	81	94	87	97	98	95	85	96	87	99	98
49	20878	Jeremie Frimpong	RWB	99	99	99	89	76	69	61	56	96	99	56	91	72	91	99	99	88	92	96	89	90	59	89	93	90	88	99	73	90
50	18981	Ronaldinho	LW	93	90	89	92	86	88	82	86	92	89	91	91	85	89	94	88	92	95	96	94	31	52	37	40	31	85	82	83	68
51	18987	Johan Cruyff	CF	92	88	94	94	84	91	94	87	93	86	83	92	86	92	92	80	95	95	94	94	43	64	42	35	39	65	81	70	70
52	20209	Thierry Henry	ST	95	95	94	95	89	88	91	86	83	81	88	89	77	95	90	78	92	94	91	87	54	89	47	52	46	73	90	85	66
53	20518	Harry Kane	ST	78	82	97	98	96	90	92	95	91	84	68	91	92	86	76	80	97	92	86	96	45	94	49	49	40	91	87	88	84
54	20600	Kylian Mbappe	ST	98	98	95	96	92	85	86	86	86	81	72	89	74	83	95	84	95	94	95	90	41	79	28	37	35	90	90	79	66
55	20692	Mane Garrincha	RW	91	90	90	88	85	85	84	81	93	94	89	93	91	91	95	91	96	96	98	91	45	67	35	38	35	65	82	66	54
56	20748	Neymar Jr	ST	91	88	93	90	86	88	93	99	94	87	91	89	85	92	96	86	91	97	98	96	41	70	39	35	32	80	87	57	70
57	20848	George Best	RW	94	92	88	93	88	90	87	88	87	90	77	86	81	84	93	91	90	95	95	92	66	91	54	56	52	83	91	70	56
58	20854	Patrick Vieira	CM	88	87	83	81	89	88	71	80	94	70	62	94	94	69	82	80	93	92	87	93	96	86	88	96	89	83	97	93	95
59	20880	Rio Ferdinand	CB	88	86	51	47	70	44	61	65	60	56	33	87	81	56	77	73	92	80	71	96	92	88	94	94	91	86	87	91	90
60	20881	Lothar Matthaus	CM	95	87	90	82	98	97	91	96	92	85	93	94	94	78	78	82	92	90	79	92	95	83	91	96	93	75	94	79	93
61	20938	Luka Modric	CM	85	80	84	80	87	90	83	91	96	91	82	96	97	90	98	98	91	96	90	98	92	63	81	84	83	77	94	66	71
62	21651	Antunes Coimbra	CAM	89	92	91	94	94	95	92	90	95	88	99	95	89	96	91	87	91	95	94	91	69	82	63	75	68	81	86	79	48
63	18915	Ferenc Puskas	CF	91	89	96	95	94	93	92	92	91	86	87	90	87	90	90	91	95	93	90	95	44	74	42	41	38	69	88	75	55
64	18988	Paolo Maldini	CB	84	85	39	56	72	40	64	53	68	75	30	86	78	40	65	68	94	73	62	94	95	93	94	96	95	83	80	84	78
65	18990	Charlton	CAM	91	90	92	91	93	93	87	85	91	82	88	88	89	84	91	93	93	89	92	93	48	78	50	47	31	85	86	68	72
66	19643	Victor Osimhen	ST	91	96	95	96	91	82	88	80	78	70	59	82	61	71	83	72	94	91	88	85	38	90	40	49	25	99	86	91	73
67	19845	Harry Kane	ST	76	80	96	97	95	89	91	95	90	83	67	90	91	85	68	76	96	91	85	95	44	93	48	48	40	89	85	86	82
68	19953	Harry Kane	ST	70	74	96	97	95	89	91	95	90	83	67	90	91	85	68	76	96	91	85	95	44	93	48	48	40	90	86	87	83
69	19986	Kevin De Bruyne	CM	78	78	90	87	94	94	85	85	96	96	84	95	95	93	75	80	93	93	87	90	67	56	67	71	54	74	90	76	77
70	19998	Eusebio	CF	92	93	94	93	93	94	93	93	87	85	86	85	83	82	93	91	93	88	95	93	41	90	43	41	36	88	93	74	72
71	20181	Kylian Mbappe	ST	98	98	94	95	91	84	85	85	85	80	71	88	73	82	94	83	94	93	94	89	40	77	27	36	34	89	89	78	65
72	20213	Marcos Cafu	RWB	92	91	74	46	67	66	62	74	84	93	63	89	73	77	76	80	90	88	87	88	91	79	89	91	85	81	93	84	75
73	20223	Marie Katoto	ST	89	86	95	94	90	89	95	86	86	77	79	92	77	77	84	69	89	91	88	89	30	98	41	39	34	99	77	85	48
74	20238	Iker Casillas	GK	64	56	18	31	63	28	27	29	69	29	27	59	56	24	66	56	89	33	29	68	27	37	28	16	21	81	44	69	30
75	20923	Harry Kane	ST	78	82	97	98	96	90	92	95	91	84	68	91	92	86	76	80	97	92	86	96	45	94	49	49	40	91	87	88	84
76	21600	Erling Haaland	ST	84	96	98	98	96	88	92	86	78	50	66	82	56	82	80	76	99	86	83	91	45	87	40	49	30	95	78	95	89
77	18914	Lev Yashin	GK	64	53	19	14	56	22	22	45	70	32	29	33	32	24	68	63	91	42	24	68	29	19	20	20	19	85	44	76	59
78	18982	Mane Garrincha	RW	90	89	89	87	84	84	83	80	92	93	88	92	90	90	93	89	94	94	96	89	44	65	34	37	34	63	80	64	52
79	18989	Muller	ST	92	82	96	97	94	81	94	84	81	66	74	82	66	77	83	93	96	89	80	89	41	94	44	32	31	88	79	75	61
80	18991	Prinz	ST	81	84	94	94	94	89	91	83	84	70	82	87	70	77	60	66	90	88	83	89	45	93	46	53	41	83	82	94	81
81	19776	Kylian Mbappe	ST	98	98	94	95	91	84	85	85	84	79	70	87	72	81	94	83	94	93	94	89	39	75	27	35	33	89	89	78	65
82	19919	Andrea Pirlo	CM	81	80	88	80	82	86	80	92	96	90	96	96	96	94	85	77	95	95	91	96	79	58	74	69	66	60	88	68	56
83	19954	Erling Haaland	ST	83	95	97	97	95	87	91	85	76	48	64	79	55	79	78	74	96	84	81	89	44	85	39	48	30	94	77	94	88
84	19997	Antunes Coimbra	CAM	88	91	90	93	93	94	91	89	94	87	98	94	88	95	90	86	90	94	93	90	64	77	59	69	63	80	83	77	47
85	20121	Kylian Mbappe	LW	98	98	94	95	91	84	85	85	84	79	70	87	72	81	94	83	94	93	94	89	40	77	27	36	34	90	90	79	66
86	20202	Vinicius Junior	LW	98	98	91	93	80	84	76	69	85	82	66	84	81	81	97	87	89	93	95	82	29	55	35	28	21	81	91	70	63
87	20220	Neymar Jr	CAM	91	88	90	87	83	85	90	95	94	87	91	89	85	92	96	86	91	97	98	96	41	70	39	35	32	77	84	56	68
88	20224	Kadidiatou Diani	RW	91	93	94	93	82	89	77	74	89	88	74	91	78	78	92	87	90	93	91	87	59	86	50	63	53	92	87	90	57
89	20278	Lionel Messi	CF	88	77	92	90	84	91	87	76	93	84	94	92	91	94	92	96	89	94	97	97	42	64	21	37	25	72	80	70	45
90	20281	Karim Benzema	CF	82	83	94	93	89	83	90	87	92	77	75	91	78	84	80	74	95	94	90	93	41	95	45	25	19	88	85	85	65
91	20552	Patricia Guijarro Gutierrez	CM	83	84	84	84	93	95	61	74	88	73	70	95	98	80	82	87	90	95	91	89	88	89	85	86	85	93	84	81	61
92	20621	Marco Van Basten	CAM	82	85	89	90	87	82	91	83	91	88	92	95	78	92	85	74	94	92	87	91	49	94	26	34	32	82	75	79	49
93	20693	Raul Gonzalez Blanco	ST	86	89	96	96	88	87	91	84	94	71	78	89	65	76	89	91	93	93	87	93	39	98	44	44	32	94	90	76	47
94	20712	Mohamed Salah	RW	92	92	96	96	86	88	87	85	89	85	73	89	82	89	92	94	96	89	91	93	60	64	41	47	45	86	94	81	68
95	20861	Alex Morgan	ST	87	88	93	97	93	83	86	91	79	75	77	93	86	71	86	70	85	95	92	94	49	90	44	46	41	96	93	86	56
96	20925	Kadidiatou Diani	RW	91	93	94	93	82	89	77	74	89	88	74	91	78	78	92	87	90	93	91	87	59	86	50	63	53	92	87	90	57
97	20927	Mohamed Salah	RW	92	92	96	96	86	88	87	85	89	85	73	89	82	89	92	94	96	89	91	93	60	64	41	47	45	86	94	81	68
98	21279	Toni Kroos	CDM	91	82	81	83	97	91	88	79	94	93	90	97	97	91	82	83	94	93	86	94	97	70	87	85	73	75	91	87	82
99	21359	Roberto Carlos	LB	94	93	71	77	99	99	77	77	76	90	99	85	84	99	80	88	93	87	78	85	94	78	85	87	89	85	95	85	87
100	21659	Roberto Baggio	CAM	90	85	88	88	88	88	88	88	94	86	89	93	89	93	81	82	88	95	94	85	50	87	50	47	46	70	85	61	46
101	21712	Carlos Tevez	ST	93	90	92	92	96	95	89	91	91	82	92	92	74	95	89	90	96	92	93	92	43	85	57	45	37	79	98	91	96
102	22708	Wesley Sneijder	CAM	91	85	88	87	91	94	90	82	97	90	95	93	97	91	88	88	93	93	89	92	68	63	49	58	55	50	87	80	84
103	6	Wesley Sneijder	CAM	88	82	86	85	89	92	88	80	96	89	94	92	96	90	87	87	92	92	88	91	67	62	48	57	54	47	86	79	83
104	35	Kylian Mbappe	ST	97	97	93	94	90	83	84	84	83	78	69	86	71	80	93	82	93	92	93	88	38	73	26	34	32	88	88	77	64
105	20474	Zinedine Zidane	CAM	86	84	86	85	84	88	87	84	92	88	86	92	91	83	75	81	90	92	92	92	80	82	59	73	62	76	89	89	80
106	20602	Alexia Putellas Segura	CM	82	83	92	92	87	90	91	92	92	89	90	95	92	90	91	90	93	95	93	93	80	76	62	83	66	86	87	80	72
107	20674	Mohamed Salah	ST	91	91	97	97	87	89	88	86	86	82	71	86	79	86	91	93	95	88	90	92	59	62	41	46	43	91	98	85	71
108	20694	Dennis Bergkamp	CM	86	84	81	80	78	73	80	81	97	90	90	96	82	88	80	80	93	92	87	93	69	99	57	84	75	75	79	74	71
109	20855	Franck Ribery	LW	93	91	89	90	87	93	92	86	93	84	89	93	86	86	91	90	88	93	93	88	41	52	43	40	35	55	86	69	68
110	20882	Philipp Lahm	RB	92	90	76	68	71	83	66	78	85	91	62	88	87	87	87	95	93	90	82	95	95	71	96	90	99	86	99	70	78
111	20926	Vinicius Junior	ST	98	98	91	93	80	84	76	69	85	82	66	84	81	81	97	87	89	93	95	82	29	55	35	28	21	81	91	70	63
112	21187	Caroline Graham Hansen	RW	92	90	90	89	91	92	86	73	91	92	79	91	86	92	96	77	85	92	95	86	37	76	48	53	49	88	88	78	70
113	21292	Rafael Leao	LW	97	97	92	92	88	82	82	71	84	87	67	90	71	90	92	87	91	94	96	90	32	85	29	32	28	94	84	87	67
114	21652	Borba Ferreira	CAM	91	92	92	89	94	94	93	88	90	89	93	90	86	96	92	81	93	95	95	94	40	78	40	45	41	74	84	81	60
115	21709	Vincent Kompany	CB	83	88	42	50	91	84	47	70	69	72	60	86	82	70	72	66	98	80	73	95	89	91	95	96	93	83	81	96	94
116	22692	Robert Lewandowski	ST	84	83	96	95	93	86	91	92	84	79	88	87	73	82	82	88	96	93	90	91	52	97	37	45	20	96	80	93	85
117	4	Gianluca Vialli	ST	89	90	92	94	89	88	94	86	77	66	60	83	66	74	85	80	93	86	84	85	34	93	50	32	29	89	93	86	54
118	23	Erling Haaland	ST	82	94	96	96	94	86	90	84	74	47	62	77	53	77	76	72	94	82	79	87	43	83	38	47	29	93	76	93	87
119	36	Alexia Putellas Segura	CM	81	82	91	91	86	89	90	91	91	88	89	94	91	89	90	89	92	94	92	92	78	74	60	81	64	84	85	78	70
120	37	Kevin De Bruyne	CM	72	72	88	85	92	92	83	83	95	95	83	94	94	92	74	78	92	92	86	88	66	55	66	70	53	72	88	74	75
121	18916	Franco Baresi	CB	69	77	39	44	53	48	49	62	70	63	44	87	85	57	73	75	93	86	55	84	94	89	94	94	94	86	86	79	86
122	18918	Carlos Alberto Torres	RB	90	88	81	56	82	58	45	81	86	84	34	89	64	65	82	71	88	87	83	82	89	84	87	89	88	83	88	86	78
123	18920	Marco Van Basten	ST	82	85	94	95	92	87	96	88	75	72	76	78	64	76	84	73	93	91	86	90	45	88	24	31	30	83	76	80	50
124	18984	Antunes Coimbra	CAM	87	90	89	92	92	93	90	88	93	86	97	93	87	94	89	85	89	93	92	89	61	73	56	66	60	77	81	75	45
125	18993	Roberto Baggio	CAM	86	82	86	86	72	82	83	84	93	85	88	92	88	92	80	81	87	94	93	84	36	73	36	33	32	64	74	60	39
126	19620	Harry Kane	ST	68	72	95	96	94	88	90	93	89	82	67	89	90	84	68	75	95	89	84	94	43	91	47	47	39	88	84	85	81
127	19777	Mohamed Salah	RW	91	91	95	95	85	87	86	84	86	82	71	86	79	86	91	93	95	88	90	92	57	62	40	45	43	83	90	78	65
128	19913	Ruud Gullit	CF	84	87	92	87	94	92	86	83	91	87	91	91	93	89	77	83	93	90	87	89	81	94	79	82	77	84	93	87	85
129	20085	Mohamed Salah	RW	91	91	95	95	85	87	86	84	87	83	72	87	80	87	91	93	95	88	90	92	57	62	40	45	43	84	92	79	66
130	20156	Willian Borges Da Silva	LM	98	88	91	89	97	92	83	93	93	89	97	92	84	98	95	91	87	92	95	96	73	44	58	72	67	70	89	70	57
131	20182	Mohamed Salah	RW	91	91	95	95	85	87	86	84	87	83	72	87	80	87	91	93	95	88	90	92	57	62	40	45	43	85	93	80	67
132	20215	Alessandro Nesta	CB	75	82	38	43	54	46	44	53	58	55	34	79	70	47	60	59	91	80	68	87	93	86	95	95	94	85	74	91	87
133	20226	Kenny Dalglish	ST	93	90	93	94	89	91	93	91	78	78	91	87	58	84	92	90	94	91	89	90	34	89	38	42	39	81	88	69	72
134	20282	Sam Kerr	ST	87	85	93	93	86	86	93	72	82	73	71	81	70	79	91	83	90	92	91	92	25	95	45	40	31	96	88	89	71
135	18895	Robert Lewandowski	ST	78	77	95	94	92	85	90	91	83	78	87	86	72	81	78	84	94	91	87	89	50	93	36	43	19	93	77	90	82
136	18917	Thierry Henry	ST	93	93	92	93	87	86	89	84	80	78	85	86	74	92	88	76	90	92	89	85	51	84	44	49	43	69	86	81	62
137	18919	Marcos Cafu	RWB	91	90	71	44	65	64	60	71	82	91	61	87	71	75	75	79	89	87	86	87	90	78	88	90	84	80	92	83	74
138	18983	Eusebio	CF	91	92	93	92	92	93	92	92	86	84	85	84	82	81	92	90	92	87	94	92	39	86	41	39	34	86	91	72	70
139	18992	Sawa	CM	88	81	91	92	79	89	74	81	91	86	79	94	93	86	88	82	91	92	91	93	83	87	82	86	68	78	92	69	71
140	19605	Alexia Putellas Segura	CM	81	82	91	91	86	89	90	91	91	88	89	94	91	89	90	89	92	94	92	92	78	74	60	81	64	84	85	78	70
141	19645	Bukayo Saka	RW	95	89	88	89	84	85	85	88	90	90	75	88	75	88	91	92	91	93	95	86	68	51	66	68	66	78	92	69	76
142	19778	Caroline Graham Hansen	RW	91	89	88	87	89	90	84	72	90	91	78	90	85	91	95	76	84	91	94	85	36	73	46	51	47	85	85	75	67
143	19988	Aitana Bonmati Conca	CM	83	81	92	92	70	90	63	71	91	68	68	92	88	77	94	87	92	92	92	86	90	55	72	83	69	77	82	77	62
144	20123	Karim Benzema	ST	80	81	93	92	88	82	89	86	91	76	74	90	77	83	78	73	93	92	88	91	40	92	44	25	18	87	84	84	65
145	20180	Aitana Bonmati Conca	CM	83	81	93	93	71	91	63	72	91	68	68	92	88	77	94	87	92	92	92	86	89	55	71	82	68	77	82	77	62
146	20205	Bernardo Silva	CM	91	72	89	82	83	83	82	72	90	87	70	94	85	87	98	95	92	94	95	92	77	57	74	80	63	69	97	57	81
147	20217	Kaka	CAM	92	90	87	87	89	87	86	86	91	87	82	90	84	89	88	86	90	92	93	95	49	64	47	40	38	58	89	79	49
148	20258	Caroline Graham Hansen	RW	91	89	89	88	90	91	85	73	90	91	78	90	85	91	95	76	84	91	94	85	36	73	46	51	47	86	86	76	68
149	20440	Rivaldo	LW	89	90	91	88	93	93	92	87	88	87	91	88	84	94	90	79	91	93	93	92	39	77	39	44	40	73	83	80	59
150	20520	Bukayo Saka	RW	95	89	89	90	85	86	86	89	91	91	76	89	76	89	92	93	92	94	96	86	69	51	67	69	68	78	94	70	76
151	20606	Virgil Van Dijk	CB	68	89	49	55	85	67	47	65	69	56	74	83	91	63	61	52	92	80	73	93	90	88	92	93	88	91	74	95	87
152	20623	Gary Lineker	LW	92	89	89	90	84	81	86	83	74	62	69	86	72	65	86	82	95	92	88	90	45	94	31	38	35	76	83	78	55
153	20636	Alessandro Del Piero	CAM	85	84	93	94	85	90	86	93	95	90	92	90	81	91	83	80	88	94	94	92	41	77	38	42	35	58	82	64	58
